"GEO_ID","NAME","B07013_001E","B07013_001M","B07013_002E","B07013_002M","B07013_003E","B07013_003M","B07013_004E","B07013_004M","B07013_005E","B07013_005M","B07013_006E","B07013_006M","B07013_007E","B07013_007M","B07013_008E","B07013_008M","B07013_009E","B07013_009M","B07013_010E","B07013_010M","B07013_011E","B07013_011M","B07013_012E","B07013_012M","B07013_013E","B07013_013M","B07013_014E","B07013_014M","B07013_015E","B07013_015M","B07013_016E","B07013_016M","B07013_017E","B07013_017M","B07013_018E","B07013_018M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Householder lived in owner-occupied housing units","Margin of Error!!Total!!Householder lived in owner-occupied housing units","Estimate!!Total!!Householder lived in renter-occupied housing units","Margin of Error!!Total!!Householder lived in renter-occupied housing units","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Householder lived in owner-occupied housing units","Margin of Error!!Total!!Same house 1 year ago!!Householder lived in owner-occupied housing units","Estimate!!Total!!Same house 1 year ago!!Householder lived in renter-occupied housing units","Margin of Error!!Total!!Same house 1 year ago!!Householder lived in renter-occupied housing units","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Householder lived in owner-occupied housing units","Margin of Error!!Total!!Moved within same county!!Householder lived in owner-occupied housing units","Estimate!!Total!!Moved within same county!!Householder lived in renter-occupied housing units","Margin of Error!!Total!!Moved within same county!!Householder lived in renter-occupied housing units","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Householder lived in owner-occupied housing units","Margin of Error!!Total!!Moved from different county within same state!!Householder lived in owner-occupied housing units","Estimate!!Total!!Moved from different county within same state!!Householder lived in renter-occupied housing units","Margin of Error!!Total!!Moved from different county within same state!!Householder lived in renter-occupied housing units","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Householder lived in owner-occupied housing units","Margin of Error!!Total!!Moved from different state!!Householder lived in owner-occupied housing units","Estimate!!Total!!Moved from different state!!Householder lived in renter-occupied housing units","Margin of Error!!Total!!Moved from different state!!Householder lived in renter-occupied housing units","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Householder lived in owner-occupied housing units","Margin of Error!!Total!!Moved from abroad!!Householder lived in owner-occupied housing units","Estimate!!Total!!Moved from abroad!!Householder lived in renter-occupied housing units","Margin of Error!!Total!!Moved from abroad!!Householder lived in renter-occupied housing units"
"0200000US4","West Region","69684370","16108","42760249","127256","26924121","126052","57989735","94148","39462173","132415","18527562","100063","8015925","86525","2082911","43252","5933014","78007","1746260","38374","599505","20423","1146755","33811","1478683","29980","447106","16233","1031577","25382","453767","16675","168554","9206","285213","13903"
